Packet Index,Category,Confidence,Field_0,Field_1,Field_2,Field_3,Field_4,Field_5,Field_6
0,LABEL_1,0.5417894721031189,1,0.000000,172.31.254.2,224.0.0.251,MDNS,186,"Standard query response 0x0000 AAAA, cache flush :: NSEC, cache flush 2bde7562-da05-4a78-b15f-f3c616776b99.local"
1,LABEL_1,0.5413175225257874,2,0.000251,fe80::1bbc:ec74:f334:3e5a,ff02::fb,MDNS,206,"Standard query response 0x0000 AAAA, cache flush :: NSEC, cache flush 2bde7562-da05-4a78-b15f-f3c616776b99.local"
2,LABEL_1,0.5418881177902222,3,0.932541,Alcatel-_80:04:71,Spanning-tree-(for-bridges)_00,STP,60,RST. Root = 32768/0/00:e0:b1:c9:42:f7  Cost = 4  Port = 0x740f
3,LABEL_1,0.5417243242263794,4,1.009088,172.31.254.2,224.0.0.251,MDNS,186,"Standard query response 0x0000 AAAA, cache flush :: NSEC, cache flush 2bde7562-da05-4a78-b15f-f3c616776b99.local"
4,LABEL_1,0.5412065982818604,5,1.009407,fe80::1bbc:ec74:f334:3e5a,ff02::fb,MDNS,206,"Standard query response 0x0000 AAAA, cache flush :: NSEC, cache flush 2bde7562-da05-4a78-b15f-f3c616776b99.local"
5,LABEL_1,0.5415792465209961,6,1.416397,ZyxelCom_fd:26:61,Broadcast,0x8899,60,Realtek Layer 2 Protocols
6,LABEL_1,0.543484628200531,7,2.266480,18.97.36.14,172.31.254.61,TLSv1.2,78,Application Data
7,LABEL_1,0.5433705449104309,8,2.266967,172.31.254.61,18.97.36.14,TLSv1.2,82,Application Data
8,LABEL_1,0.5432259440422058,9,2.408996,172.31.254.61,34.104.35.123,TCP,66,55953  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
9,LABEL_1,0.5432224273681641,10,2.508156,172.31.254.61,51.105.71.136,TCP,66,55963  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
10,LABEL_1,0.5429720878601074,11,2.516039,18.97.36.14,172.31.254.61,TCP,60,443  >  55543 [ACK] Seq=25 Ack=29 Win=193 Len=0
11,LABEL_1,0.542475700378418,12,2.534407,172.31.254.61,108.177.14.102,TCP,55,55896  >  443 [ACK] Seq=1 Ack=1 Win=511 Len=1 [TCP segment of a reassembled PDU]
12,LABEL_1,0.5423526763916016,13,2.550042,172.31.254.61,74.125.131.139,TCP,55,55898  >  443 [ACK] Seq=1 Ack=1 Win=512 Len=1 [TCP segment of a reassembled PDU]
13,LABEL_1,0.5429316759109497,14,2.614952,108.177.14.102,172.31.254.61,TCP,66,443  >  55896 [ACK] Seq=1 Ack=2 Win=1045 Len=0 SLE=1 SRE=2
14,LABEL_1,0.5427584648132324,15,2.619676,51.105.71.136,172.31.254.61,TCP,66,"443  >  55963 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1360 WS=256 SACK_PERM=1"
15,LABEL_1,0.5432355403900146,16,2.619744,172.31.254.61,51.105.71.136,TCP,54,55963  >  443 [ACK] Seq=1 Ack=1 Win=131840 Len=0
16,LABEL_1,0.5434200763702393,17,2.621156,172.31.254.61,51.105.71.136,TLSv1.3,571,Client Hello
17,LABEL_1,0.5430223345756531,18,2.634329,74.125.131.139,172.31.254.61,TCP,66,443  >  55898 [ACK] Seq=1 Ack=2 Win=1044 Len=0 SLE=1 SRE=2
18,LABEL_1,0.5431852340698242,19,2.733404,51.105.71.136,172.31.254.61,TLSv1.3,153,"Hello Retry Request, Change Cipher Spec"
19,LABEL_1,0.5433051586151123,20,2.734160,172.31.254.61,51.105.71.136,TLSv1.3,491,"Change Cipher Spec, Client Hello"
20,LABEL_1,0.5432335138320923,21,2.852076,51.105.71.136,172.31.254.61,TLSv1.3,1414,Server Hello
21,LABEL_1,0.5423737168312073,22,2.852151,51.105.71.136,172.31.254.61,TCP,1414,443  >  55963 [ACK] Seq=1460 Ack=955 Win=4194560 Len=1360 [TCP segment of a reassembled PDU]
22,LABEL_1,0.5436009764671326,23,2.852170,172.31.254.61,51.105.71.136,TCP,54,55963  >  443 [ACK] Seq=955 Ack=2820 Win=131840 Len=0
23,LABEL_1,0.5423915386199951,24,2.852266,51.105.71.136,172.31.254.61,TCP,1414,443  >  55963 [ACK] Seq=2820 Ack=955 Win=4194560 Len=1360 [TCP segment of a reassembled PDU]
24,LABEL_1,0.5434285998344421,25,2.852300,51.105.71.136,172.31.254.61,TLSv1.3,465,Application Data
25,LABEL_1,0.5434934496879578,26,2.852309,172.31.254.61,51.105.71.136,TCP,54,55963  >  443 [ACK] Seq=955 Ack=4591 Win=131840 Len=0
26,LABEL_1,0.5432934165000916,27,2.853206,172.31.254.61,51.105.71.136,TLSv1.3,1740,"Application Data, Application Data"
27,LABEL_1,0.5418325662612915,28,2.931545,Alcatel-_80:04:71,Spanning-tree-(for-bridges)_00,STP,60,RST. Root = 32768/0/00:e0:b1:c9:42:f7  Cost = 4  Port = 0x740f
28,LABEL_1,0.5433061718940735,29,2.964373,51.105.71.136,172.31.254.61,TCP,60,443  >  55963 [ACK] Seq=4591 Ack=2641 Win=4195584 Len=0
29,LABEL_1,0.5434277057647705,30,2.964815,51.105.71.136,172.31.254.61,TLSv1.3,157,Application Data
30,LABEL_1,0.5434902310371399,31,2.965761,51.105.71.136,172.31.254.61,TLSv1.3,521,Application Data
31,LABEL_1,0.5433486104011536,32,2.965782,172.31.254.61,51.105.71.136,TCP,54,55963  >  443 [ACK] Seq=2641 Ack=5162 Win=131328 Len=0
32,LABEL_1,0.5434644222259521,33,2.966075,172.31.254.61,51.105.71.136,TLSv1.3,78,Application Data
33,LABEL_1,0.5430363416671753,34,2.966114,172.31.254.61,51.105.71.136,TCP,54,"55963  >  443 [FIN, ACK] Seq=2665 Ack=5162 Win=131328 Len=0"
